date,tourism_num
2015-01-27,2546
2015-01-26,1969
2015-01-25,2678
2015-01-24,3834
2015-01-23,2006
2015-01-22,1822
2015-01-21,1881
2015-01-20,1744
2015-01-19,1721
2015-01-18,1902
2015-01-17,3285
2015-01-16,2019
2015-01-15,1698
2015-01-14,1729
2015-01-13,1812
2015-01-12,1502
2015-01-11,2014
2015-01-10,3075
2015-01-09,1634
2015-01-08,1611
2015-01-07,1478
2015-01-06,1296
2015-01-05,1297
2015-01-04,1432
2015-01-03,2595
2015-01-02,10366
2015-01-01,3874
2014-12-31,2400
2014-12-30,2457
2014-12-29,2422
2014-12-28,2228
2014-12-27,3346
2014-12-26,2112
2014-12-25,2154
2014-12-24,1775
2014-12-23,1953
2014-12-21,2341
2014-12-20,3524
2014-12-19,2049
2014-12-18,1715
2014-12-17,2240
2014-12-16,2392
2014-12-15,1642
2014-12-14,2586
2014-12-13,5253
2014-12-12,2493
2014-12-11,2590
2014-12-10,3113
2014-12-09,2564
2014-12-08,2505
2014-12-07,3221
2014-12-06,6274
2014-12-05,3229
2014-12-04,3577
2014-12-03,3356
2014-12-02,4165
2014-12-01,3177
2014-11-30,3728
2014-11-29,9289
2014-11-28,4311
2014-11-27,4990
2014-11-26,5320
2014-11-25,6544
2014-11-24,4548
2014-11-23,8147
2014-11-22,15996
2014-11-21,9661
2014-11-20,7436
2014-11-19,11038
2014-11-18,10175
2014-11-17,10349
2014-11-16,17792
2014-11-15,4680
2014-11-14,5707
2014-11-13,6375
2014-11-12,7134
2014-11-11,8599
2014-11-10,10848
2014-11-09,15178
2014-11-08,17051
2014-11-07,15869
2014-11-06,9066
2014-11-05,6730
2014-11-04,13062
2014-11-03,11692
2014-11-02,13132
2014-11-01,16015
2014-10-31,14834
2014-10-30,14004
2014-10-29,15226
2014-10-28,17861
2014-10-27,17492
2014-10-26,21546
2014-10-25,30039
2014-10-24,30112
2014-10-23,25014
2014-10-22,26560
2014-10-21,30005
2014-10-20,26359
2014-10-19,26501
2014-10-18,30078
2014-10-17,31761
2014-10-16,26457
2014-10-15,26939
2014-10-14,28129
2014-10-13,25438
2014-10-12,24478
2014-10-11,22917
2014-10-10,21208
2014-10-09,17164
2014-10-08,15625
2014-10-07,14154
2014-10-06,21963
2014-10-05,39688
2014-10-04,40987
2014-10-03,30425
2014-10-02,21614
2014-10-01,8328
2014-09-30,11598
2014-09-29,15831
2014-09-28,15335
2014-09-27,15671
2014-09-26,17138
2014-09-25,18034
2014-09-24,19846
2014-09-23,19799
2014-09-22,19656
2014-09-21,19167
2014-09-20,22832
2014-09-19,25383
2014-09-18,18604
2014-09-17,17316
2014-09-16,21298
2014-09-15,21067
2014-09-14,20321
2014-09-13,20604
2014-09-12,21649
2014-09-11,16643
2014-09-10,13475
2014-09-09,10194
2014-09-08,11358
2014-09-07,19463
2014-09-06,15955
2014-09-05,15035
2014-09-04,14554
2014-09-03,14025
2014-09-02,11708
2014-09-01,10435
2014-08-31,11116
2014-08-30,11352
2014-08-29,12313
2014-08-28,13858
2014-08-27,15480
2014-08-27,15480
2014-08-26,16354
2014-08-25,18663
2014-08-24,20045
2014-08-23,21817
2014-08-22,24510
2014-08-21,23699
2014-08-20,25570
2014-08-19,26833
2014-08-18,27828
2014-08-17,29777
2014-08-16,29272
2014-08-15,31509
2014-08-14,30143
2014-08-13,31679
2014-08-12,29723
2014-08-11,28508
2014-08-10,28002
2014-08-09,26117
2014-08-08,32171
2014-08-07,33784
2014-08-06,35880
2014-08-05,35843
2014-08-04,36043
2014-08-03,32504
2014-08-02,28669
2014-08-01,28163
2014-07-31,28778
2014-07-30,30509
2014-07-29,33607
2014-07-28,38611
2014-07-27,33554
2014-07-26,29145
2014-07-25,29578
2014-07-24,25650
2014-07-23,27450
2014-07-22,26252
2014-07-21,26188
2014-07-20,27275
2014-07-19,31775
2014-07-18,28564
2014-07-17,28266
2014-07-16,28750
2014-07-15,26013
2014-07-14,25045
2014-07-13,24011
2014-07-12,24424
2014-07-11,24569
2014-07-10,22168
2014-07-09,20529
2014-07-08,21293
2014-07-07,21163
2014-07-06,22265
2014-07-05,21271
2014-07-04,19820
2014-07-03,14808
2014-07-02,14702
2014-07-01,15319
2014-06-30,14965
2014-06-29,15764
2014-06-28,14835
2014-06-27,14035
2014-06-26,11482
2014-06-25,10393
2014-06-24,11602
2014-06-23,10910
2014-06-22,13196
2014-06-21,14070
2014-06-20,14750
2014-06-19,13381
2014-06-18,13244
2014-06-17,12474
2014-06-16,11910
2014-06-15,11719
2014-06-14,12430
2014-06-13,12554
2014-06-12,12252
2014-06-11,17430
2014-06-10,15295
2014-06-09,10729
2014-06-08,11209
2014-06-07,13045
2014-06-06,11103
2014-06-05,9999
